Fragment ID,Site 1,Site 2,Site 3,Site 4,All Sites
F51,FALSE,FALSE,FALSE,FALSE,FALSE
F52,FALSE,FALSE,FALSE,FALSE,FALSE
F53,FALSE,FALSE,FALSE,FALSE,FALSE
F54,FALSE,FALSE,FALSE,FALSE,FALSE
F55,FALSE,FALSE,FALSE,FALSE,FALSE
F56,FALSE,FALSE,FALSE,FALSE,FALSE
F57,FALSE,FALSE,FALSE,FALSE,FALSE
F58,FALSE,FALSE,FALSE,FALSE,FALSE
F59,FALSE,FALSE,FALSE,FALSE,FALSE
F60,FALSE,FALSE,FALSE,FALSE,FALSE
F61,FALSE,FALSE,FALSE,FALSE,FALSE
F62,FALSE,FALSE,FALSE,FALSE,FALSE
F63,FALSE,FALSE,FALSE,FALSE,FALSE
F64,FALSE,FALSE,FALSE,FALSE,FALSE
F65,FALSE,FALSE,FALSE,FALSE,FALSE
F66,FALSE,FALSE,FALSE,FALSE,FALSE
F67,FALSE,FALSE,FALSE,FALSE,FALSE
F68,FALSE,FALSE,FALSE,FALSE,FALSE
F69,FALSE,FALSE,FALSE,FALSE,FALSE
F70,FALSE,FALSE,FALSE,FALSE,FALSE
F71,FALSE,FALSE,FALSE,FALSE,FALSE
F72,FALSE,FALSE,FALSE,FALSE,FALSE
F73,FALSE,FALSE,FALSE,FALSE,FALSE
F74,FALSE,FALSE,FALSE,FALSE,FALSE
F75,FALSE,FALSE,FALSE,FALSE,FALSE
F76,FALSE,FALSE,FALSE,FALSE,FALSE
F77,FALSE,FALSE,FALSE,FALSE,FALSE
F78,FALSE,FALSE,FALSE,FALSE,FALSE
F79,FALSE,FALSE,FALSE,FALSE,FALSE
F80,FALSE,FALSE,FALSE,FALSE,FALSE
F81,FALSE,FALSE,FALSE,FALSE,FALSE
F82,FALSE,FALSE,FALSE,FALSE,FALSE
F83,FALSE,FALSE,FALSE,FALSE,FALSE
F84,FALSE,FALSE,FALSE,FALSE,FALSE
F85,FALSE,FALSE,FALSE,FALSE,FALSE
F86,FALSE,FALSE,FALSE,FALSE,FALSE
F87,FALSE,FALSE,FALSE,FALSE,FALSE
F88,FALSE,FALSE,FALSE,FALSE,FALSE
F89,FALSE,FALSE,FALSE,FALSE,FALSE
F90,FALSE,FALSE,FALSE,FALSE,FALSE
F91,FALSE,FALSE,FALSE,FALSE,FALSE
F92,FALSE,FALSE,FALSE,FALSE,FALSE
F93,FALSE,FALSE,FALSE,FALSE,FALSE
F94,FALSE,FALSE,FALSE,FALSE,FALSE
F95,TRUE,FALSE,FALSE,FALSE,TRUE
F96,TRUE,FALSE,FALSE,FALSE,TRUE
F97,FALSE,FALSE,FALSE,FALSE,FALSE
F98,FALSE,FALSE,FALSE,FALSE,FALSE
F99,FALSE,FALSE,FALSE,FALSE,FALSE
F100,FALSE,FALSE,FALSE,FALSE,FALSE
F101,FALSE,FALSE,FALSE,FALSE,FALSE
F102,FALSE,FALSE,FALSE,FALSE,FALSE
F103,FALSE,FALSE,FALSE,FALSE,FALSE
F104,FALSE,FALSE,FALSE,FALSE,FALSE
F105,FALSE,FALSE,FALSE,FALSE,FALSE
F106,FALSE,FALSE,FALSE,FALSE,FALSE
F107,FALSE,FALSE,FALSE,FALSE,FALSE
F108,FALSE,FALSE,FALSE,FALSE,FALSE
F109,FALSE,FALSE,FALSE,FALSE,FALSE
F110,FALSE,FALSE,FALSE,FALSE,FALSE
F111,FALSE,FALSE,FALSE,FALSE,FALSE
F112,FALSE,FALSE,FALSE,FALSE,FALSE
F113,FALSE,FALSE,FALSE,FALSE,FALSE
F114,FALSE,FALSE,FALSE,FALSE,FALSE
F115,FALSE,FALSE,FALSE,FALSE,FALSE
F116,FALSE,FALSE,FALSE,FALSE,FALSE
F117,FALSE,FALSE,FALSE,FALSE,FALSE
F118,FALSE,FALSE,FALSE,FALSE,FALSE
F119,FALSE,FALSE,FALSE,FALSE,FALSE
F120,FALSE,FALSE,FALSE,FALSE,FALSE
F121,FALSE,FALSE,FALSE,FALSE,FALSE
F122,FALSE,FALSE,FALSE,FALSE,FALSE
F123,FALSE,FALSE,FALSE,FALSE,FALSE
F124,FALSE,FALSE,FALSE,FALSE,FALSE
F125,FALSE,FALSE,FALSE,FALSE,FALSE
F126,TRUE,FALSE,FALSE,FALSE,TRUE
F127,FALSE,FALSE,FALSE,FALSE,FALSE
F128,FALSE,FALSE,FALSE,FALSE,FALSE
F129,FALSE,FALSE,FALSE,FALSE,FALSE
F130,FALSE,FALSE,FALSE,FALSE,FALSE
F131,FALSE,FALSE,FALSE,FALSE,FALSE
F132,FALSE,FALSE,FALSE,FALSE,FALSE
F133,FALSE,FALSE,FALSE,FALSE,FALSE
F134,FALSE,FALSE,FALSE,FALSE,FALSE
F135,FALSE,FALSE,FALSE,FALSE,FALSE
F136,FALSE,FALSE,FALSE,FALSE,FALSE
F137,FALSE,FALSE,FALSE,FALSE,FALSE
F138,FALSE,FALSE,FALSE,FALSE,FALSE
F139,FALSE,FALSE,FALSE,FALSE,FALSE
F140,FALSE,FALSE,FALSE,FALSE,FALSE
F141,FALSE,FALSE,FALSE,FALSE,FALSE
F142,FALSE,FALSE,FALSE,FALSE,FALSE
F143,FALSE,FALSE,FALSE,FALSE,FALSE
F144,FALSE,FALSE,FALSE,FALSE,FALSE
F145,FALSE,FALSE,FALSE,FALSE,FALSE
F146,FALSE,FALSE,FALSE,FALSE,FALSE
F147,FALSE,FALSE,FALSE,FALSE,FALSE
F148,FALSE,FALSE,FALSE,FALSE,FALSE
F149,FALSE,FALSE,FALSE,FALSE,FALSE
F150,FALSE,FALSE,FALSE,FALSE,FALSE
F151,FALSE,FALSE,FALSE,FALSE,FALSE
F152,FALSE,FALSE,FALSE,FALSE,FALSE
F153,FALSE,FALSE,FALSE,FALSE,FALSE
F154,FALSE,FALSE,FALSE,FALSE,FALSE
F155,FALSE,FALSE,FALSE,FALSE,FALSE
F156,FALSE,FALSE,FALSE,FALSE,FALSE
F157,FALSE,FALSE,FALSE,FALSE,FALSE
F158,FALSE,FALSE,FALSE,FALSE,FALSE
F159,FALSE,FALSE,FALSE,FALSE,FALSE
F160,FALSE,FALSE,FALSE,FALSE,FALSE
F161,FALSE,FALSE,FALSE,FALSE,FALSE
F162,FALSE,FALSE,FALSE,FALSE,FALSE
F163,FALSE,FALSE,FALSE,FALSE,FALSE
F164,FALSE,FALSE,FALSE,FALSE,FALSE
F165,FALSE,FALSE,FALSE,FALSE,FALSE
F166,FALSE,FALSE,FALSE,FALSE,FALSE
F167,FALSE,FALSE,FALSE,FALSE,FALSE
F168,FALSE,FALSE,FALSE,FALSE,FALSE
F169,FALSE,FALSE,FALSE,FALSE,FALSE
F170,FALSE,FALSE,FALSE,FALSE,FALSE
F171,FALSE,FALSE,FALSE,FALSE,FALSE
F172,FALSE,FALSE,FALSE,FALSE,FALSE
F173,FALSE,FALSE,FALSE,FALSE,FALSE
F174,FALSE,FALSE,FALSE,FALSE,FALSE
F175,FALSE,FALSE,FALSE,FALSE,FALSE
F176,FALSE,FALSE,FALSE,FALSE,FALSE
F177,FALSE,FALSE,FALSE,FALSE,FALSE
F178,FALSE,FALSE,FALSE,FALSE,FALSE
F179,TRUE,FALSE,FALSE,FALSE,TRUE
F180,FALSE,FALSE,FALSE,FALSE,FALSE
F181,FALSE,FALSE,FALSE,FALSE,FALSE
F182,FALSE,FALSE,FALSE,FALSE,FALSE
F183,FALSE,FALSE,FALSE,FALSE,FALSE
F184,FALSE,FALSE,FALSE,FALSE,FALSE
F185,FALSE,FALSE,FALSE,FALSE,FALSE
F186,FALSE,FALSE,FALSE,FALSE,FALSE
F187,FALSE,FALSE,FALSE,FALSE,FALSE
F188,FALSE,FALSE,FALSE,FALSE,FALSE
F189,FALSE,FALSE,FALSE,FALSE,FALSE
F190,FALSE,FALSE,FALSE,FALSE,FALSE
F191,FALSE,FALSE,FALSE,FALSE,FALSE
F192,FALSE,FALSE,FALSE,FALSE,FALSE
F193,FALSE,FALSE,FALSE,FALSE,FALSE
F194,FALSE,FALSE,FALSE,FALSE,FALSE
F195,FALSE,FALSE,FALSE,FALSE,FALSE
F196,FALSE,FALSE,FALSE,FALSE,FALSE
F197,FALSE,FALSE,FALSE,FALSE,FALSE
F198,FALSE,FALSE,FALSE,FALSE,FALSE
F199,TRUE,FALSE,FALSE,FALSE,TRUE
F200,FALSE,FALSE,FALSE,FALSE,FALSE
F201,FALSE,FALSE,FALSE,FALSE,FALSE
F202,FALSE,FALSE,FALSE,FALSE,FALSE
F203,FALSE,FALSE,FALSE,FALSE,FALSE
F204,FALSE,FALSE,FALSE,FALSE,FALSE
F205,TRUE,FALSE,FALSE,FALSE,TRUE
F206,FALSE,FALSE,FALSE,FALSE,FALSE
F207,FALSE,FALSE,FALSE,FALSE,FALSE
F208,FALSE,FALSE,FALSE,FALSE,FALSE
F209,FALSE,FALSE,FALSE,FALSE,FALSE
F210,FALSE,FALSE,FALSE,FALSE,FALSE
F211,FALSE,FALSE,FALSE,FALSE,FALSE
F212,FALSE,FALSE,FALSE,FALSE,FALSE
F213,FALSE,FALSE,FALSE,FALSE,FALSE
F214,FALSE,FALSE,FALSE,FALSE,FALSE
F215,FALSE,FALSE,FALSE,FALSE,FALSE
F216,FALSE,FALSE,FALSE,FALSE,FALSE
F217,TRUE,FALSE,FALSE,FALSE,TRUE
F218,FALSE,FALSE,FALSE,FALSE,FALSE
F219,FALSE,FALSE,FALSE,FALSE,FALSE
F220,FALSE,FALSE,FALSE,FALSE,FALSE
F221,FALSE,FALSE,FALSE,FALSE,FALSE
F222,FALSE,FALSE,FALSE,FALSE,FALSE
F223,FALSE,FALSE,FALSE,FALSE,FALSE
F224,FALSE,FALSE,FALSE,FALSE,FALSE
F225,FALSE,FALSE,FALSE,FALSE,FALSE
F226,FALSE,FALSE,FALSE,FALSE,FALSE
F227,FALSE,FALSE,FALSE,FALSE,FALSE
F228,FALSE,FALSE,FALSE,FALSE,FALSE
F229,TRUE,FALSE,FALSE,FALSE,TRUE
F230,FALSE,FALSE,FALSE,FALSE,FALSE
F231,FALSE,FALSE,FALSE,FALSE,FALSE
F232,FALSE,FALSE,FALSE,FALSE,FALSE
F233,FALSE,FALSE,FALSE,FALSE,FALSE
F234,FALSE,FALSE,FALSE,FALSE,FALSE
F235,FALSE,FALSE,FALSE,FALSE,FALSE
F236,FALSE,FALSE,FALSE,FALSE,FALSE
F237,FALSE,FALSE,FALSE,FALSE,FALSE
F238,FALSE,FALSE,FALSE,FALSE,FALSE
F239,FALSE,FALSE,FALSE,FALSE,FALSE
F240,FALSE,FALSE,FALSE,FALSE,FALSE
F241,FALSE,FALSE,FALSE,FALSE,FALSE
F242,FALSE,FALSE,FALSE,FALSE,FALSE
F243,FALSE,FALSE,FALSE,FALSE,FALSE
F244,FALSE,FALSE,FALSE,FALSE,FALSE
F245,FALSE,FALSE,FALSE,FALSE,FALSE
F246,FALSE,FALSE,FALSE,FALSE,FALSE
F247,FALSE,FALSE,FALSE,FALSE,FALSE
F248,FALSE,FALSE,FALSE,FALSE,FALSE
F249,FALSE,FALSE,FALSE,FALSE,FALSE
F250,FALSE,FALSE,FALSE,FALSE,FALSE
F251,FALSE,FALSE,FALSE,FALSE,FALSE
F252,FALSE,FALSE,FALSE,FALSE,FALSE
F253,FALSE,FALSE,FALSE,FALSE,FALSE
F254,FALSE,FALSE,FALSE,FALSE,FALSE
F255,FALSE,FALSE,FALSE,FALSE,FALSE
F256,FALSE,FALSE,FALSE,FALSE,FALSE
F257,FALSE,FALSE,FALSE,FALSE,FALSE
F258,FALSE,FALSE,FALSE,FALSE,FALSE
F259,FALSE,FALSE,FALSE,FALSE,FALSE
F260,FALSE,FALSE,FALSE,FALSE,FALSE
F261,FALSE,FALSE,FALSE,FALSE,FALSE
F262,FALSE,FALSE,FALSE,FALSE,FALSE
F263,FALSE,FALSE,FALSE,FALSE,FALSE
F264,FALSE,FALSE,FALSE,FALSE,FALSE
F265,FALSE,FALSE,FALSE,FALSE,FALSE
F266,FALSE,FALSE,FALSE,FALSE,FALSE
F267,FALSE,FALSE,FALSE,FALSE,FALSE
F268,FALSE,FALSE,FALSE,FALSE,FALSE
F269,FALSE,FALSE,FALSE,FALSE,FALSE
F270,FALSE,FALSE,FALSE,FALSE,FALSE
F271,FALSE,FALSE,FALSE,FALSE,FALSE
F272,FALSE,FALSE,FALSE,FALSE,FALSE
F273,FALSE,FALSE,FALSE,FALSE,FALSE
F274,TRUE,FALSE,FALSE,FALSE,TRUE
F275,TRUE,TRUE,FALSE,FALSE,TRUE
F276,FALSE,FALSE,FALSE,FALSE,FALSE
F277,FALSE,FALSE,FALSE,FALSE,FALSE
F278,FALSE,FALSE,FALSE,FALSE,FALSE
F279,FALSE,FALSE,FALSE,FALSE,FALSE
F280,FALSE,FALSE,FALSE,FALSE,FALSE
F281,FALSE,FALSE,FALSE,FALSE,FALSE
F282,FALSE,FALSE,FALSE,FALSE,FALSE
F283,FALSE,FALSE,FALSE,FALSE,FALSE
F284,FALSE,FALSE,FALSE,FALSE,FALSE
F285,FALSE,FALSE,FALSE,FALSE,FALSE
F286,FALSE,FALSE,FALSE,FALSE,FALSE
F287,FALSE,FALSE,FALSE,FALSE,FALSE
F288,FALSE,FALSE,FALSE,FALSE,FALSE
F289,FALSE,FALSE,FALSE,FALSE,FALSE
F290,FALSE,FALSE,FALSE,FALSE,FALSE
F291,FALSE,FALSE,FALSE,FALSE,FALSE
F292,FALSE,FALSE,FALSE,FALSE,FALSE
F293,FALSE,FALSE,FALSE,FALSE,FALSE
F294,FALSE,FALSE,FALSE,FALSE,FALSE
F295,FALSE,FALSE,FALSE,FALSE,FALSE
F296,FALSE,FALSE,FALSE,FALSE,FALSE
F297,FALSE,FALSE,FALSE,FALSE,FALSE
F298,FALSE,FALSE,FALSE,FALSE,FALSE
F299,FALSE,FALSE,FALSE,FALSE,FALSE
F300,FALSE,FALSE,FALSE,FALSE,FALSE
F301,FALSE,FALSE,FALSE,FALSE,FALSE
F302,FALSE,FALSE,FALSE,FALSE,FALSE
F303,FALSE,FALSE,FALSE,FALSE,FALSE
F304,FALSE,FALSE,FALSE,FALSE,FALSE
F305,FALSE,FALSE,FALSE,FALSE,FALSE
F306,FALSE,FALSE,FALSE,FALSE,FALSE
F307,FALSE,FALSE,FALSE,FALSE,FALSE
F308,FALSE,FALSE,FALSE,FALSE,FALSE
F309,TRUE,FALSE,FALSE,FALSE,TRUE
F310,FALSE,FALSE,FALSE,FALSE,FALSE
F311,FALSE,FALSE,FALSE,FALSE,FALSE
F312,FALSE,FALSE,FALSE,FALSE,FALSE
F313,FALSE,FALSE,FALSE,FALSE,FALSE
F314,FALSE,FALSE,FALSE,FALSE,FALSE
F315,FALSE,FALSE,FALSE,FALSE,FALSE
F316,FALSE,FALSE,FALSE,FALSE,FALSE
F317,FALSE,FALSE,FALSE,FALSE,FALSE
F318,FALSE,FALSE,FALSE,FALSE,FALSE
F319,FALSE,FALSE,FALSE,FALSE,FALSE
F320,FALSE,FALSE,FALSE,FALSE,FALSE
F321,FALSE,FALSE,FALSE,FALSE,FALSE
F322,FALSE,FALSE,FALSE,FALSE,FALSE
F323,FALSE,FALSE,FALSE,FALSE,FALSE
F324,FALSE,FALSE,FALSE,FALSE,FALSE
F325,FALSE,FALSE,FALSE,FALSE,FALSE
F326,FALSE,FALSE,FALSE,FALSE,FALSE
F327,FALSE,FALSE,FALSE,FALSE,FALSE
F328,FALSE,FALSE,FALSE,FALSE,FALSE
F329,FALSE,FALSE,FALSE,FALSE,FALSE
F330,FALSE,FALSE,FALSE,FALSE,FALSE
F331,FALSE,FALSE,FALSE,FALSE,FALSE
F332,FALSE,FALSE,FALSE,FALSE,FALSE
F333,FALSE,FALSE,FALSE,FALSE,FALSE
F334,FALSE,FALSE,FALSE,FALSE,FALSE
F335,FALSE,FALSE,FALSE,FALSE,FALSE
F336,FALSE,FALSE,FALSE,FALSE,FALSE
F337,FALSE,FALSE,FALSE,FALSE,FALSE
F338,FALSE,FALSE,FALSE,FALSE,FALSE
F339,FALSE,FALSE,FALSE,FALSE,FALSE
F340,FALSE,FALSE,FALSE,FALSE,FALSE
F341,FALSE,FALSE,FALSE,FALSE,FALSE
F342,FALSE,FALSE,FALSE,FALSE,FALSE
F343,FALSE,FALSE,FALSE,FALSE,FALSE
F344,FALSE,FALSE,FALSE,FALSE,FALSE
F345,FALSE,FALSE,FALSE,FALSE,FALSE
F346,FALSE,FALSE,FALSE,FALSE,FALSE
F347,FALSE,FALSE,FALSE,FALSE,FALSE
F348,FALSE,FALSE,FALSE,FALSE,FALSE
F349,FALSE,FALSE,FALSE,FALSE,FALSE
F350,FALSE,FALSE,FALSE,FALSE,FALSE
F351,FALSE,FALSE,FALSE,FALSE,FALSE
F352,FALSE,FALSE,FALSE,FALSE,FALSE
F353,FALSE,FALSE,FALSE,FALSE,FALSE
F354,FALSE,FALSE,FALSE,FALSE,FALSE
F355,FALSE,FALSE,FALSE,FALSE,FALSE
F356,FALSE,FALSE,FALSE,FALSE,FALSE
F357,FALSE,FALSE,FALSE,FALSE,FALSE
F358,FALSE,FALSE,FALSE,FALSE,FALSE
F359,FALSE,FALSE,FALSE,FALSE,FALSE
F360,FALSE,FALSE,FALSE,FALSE,FALSE
F361,FALSE,FALSE,FALSE,FALSE,FALSE
F362,TRUE,FALSE,FALSE,FALSE,TRUE
F363,FALSE,FALSE,FALSE,FALSE,FALSE
F364,FALSE,FALSE,FALSE,FALSE,FALSE
F365,FALSE,FALSE,FALSE,FALSE,FALSE
F366,TRUE,FALSE,FALSE,FALSE,TRUE
F367,TRUE,FALSE,FALSE,FALSE,TRUE
F368,TRUE,FALSE,FALSE,FALSE,TRUE
F369,TRUE,FALSE,FALSE,FALSE,TRUE
F370,FALSE,FALSE,FALSE,FALSE,FALSE
F371,FALSE,FALSE,FALSE,FALSE,FALSE
F372,FALSE,FALSE,FALSE,FALSE,FALSE
F373,FALSE,FALSE,FALSE,FALSE,FALSE
F374,TRUE,FALSE,FALSE,FALSE,TRUE
F375,FALSE,FALSE,FALSE,FALSE,FALSE
F376,FALSE,FALSE,FALSE,FALSE,FALSE
F377,FALSE,FALSE,FALSE,FALSE,FALSE
F378,FALSE,FALSE,FALSE,FALSE,FALSE
F379,FALSE,FALSE,FALSE,FALSE,FALSE
F380,FALSE,FALSE,FALSE,FALSE,FALSE
F381,FALSE,FALSE,FALSE,FALSE,FALSE
F382,FALSE,FALSE,FALSE,FALSE,FALSE
F383,FALSE,FALSE,FALSE,FALSE,FALSE
F384,FALSE,FALSE,FALSE,FALSE,FALSE
F385,FALSE,FALSE,FALSE,FALSE,FALSE
F386,FALSE,FALSE,FALSE,FALSE,FALSE
F387,FALSE,FALSE,FALSE,FALSE,FALSE
F388,FALSE,FALSE,FALSE,FALSE,FALSE
F389,TRUE,FALSE,FALSE,FALSE,TRUE
F390,FALSE,FALSE,FALSE,FALSE,FALSE
F391,FALSE,FALSE,FALSE,FALSE,FALSE
F392,FALSE,FALSE,FALSE,FALSE,FALSE
F393,TRUE,FALSE,FALSE,FALSE,TRUE
F394,FALSE,FALSE,FALSE,FALSE,FALSE
F395,FALSE,FALSE,FALSE,FALSE,FALSE
F396,FALSE,FALSE,FALSE,FALSE,FALSE
F397,FALSE,FALSE,FALSE,FALSE,FALSE
F398,FALSE,FALSE,FALSE,FALSE,FALSE
F399,FALSE,FALSE,FALSE,FALSE,FALSE
F400,TRUE,TRUE,FALSE,FALSE,TRUE
F401,FALSE,FALSE,FALSE,FALSE,FALSE
F402,FALSE,FALSE,FALSE,FALSE,FALSE
F403,FALSE,FALSE,FALSE,FALSE,FALSE
F404,FALSE,FALSE,FALSE,FALSE,FALSE
F405,FALSE,FALSE,FALSE,FALSE,FALSE
F406,FALSE,FALSE,FALSE,FALSE,FALSE
F407,FALSE,FALSE,FALSE,FALSE,FALSE
F408,FALSE,FALSE,FALSE,FALSE,FALSE
F409,FALSE,FALSE,FALSE,FALSE,FALSE
F410,FALSE,FALSE,FALSE,FALSE,FALSE
F411,FALSE,FALSE,FALSE,FALSE,FALSE
F412,FALSE,FALSE,FALSE,FALSE,FALSE
F413,FALSE,FALSE,FALSE,FALSE,FALSE
F414,FALSE,FALSE,FALSE,FALSE,FALSE
F415,FALSE,FALSE,FALSE,FALSE,FALSE
F416,FALSE,FALSE,FALSE,FALSE,FALSE
F417,FALSE,FALSE,FALSE,FALSE,FALSE
F418,FALSE,FALSE,FALSE,FALSE,FALSE
F419,FALSE,FALSE,FALSE,FALSE,FALSE
F420,FALSE,FALSE,FALSE,FALSE,FALSE
F421,TRUE,FALSE,FALSE,FALSE,TRUE
F422,FALSE,FALSE,FALSE,FALSE,FALSE
F423,FALSE,FALSE,FALSE,FALSE,FALSE
F424,FALSE,FALSE,FALSE,FALSE,FALSE
F425,FALSE,FALSE,FALSE,FALSE,FALSE
F426,FALSE,FALSE,FALSE,FALSE,FALSE
F427,FALSE,FALSE,FALSE,FALSE,FALSE
F428,FALSE,FALSE,FALSE,FALSE,FALSE
F429,FALSE,FALSE,FALSE,FALSE,FALSE
F430,FALSE,FALSE,FALSE,FALSE,FALSE
F431,FALSE,FALSE,FALSE,FALSE,FALSE
F432,FALSE,FALSE,FALSE,FALSE,FALSE
F433,FALSE,FALSE,FALSE,FALSE,FALSE
F434,FALSE,FALSE,FALSE,FALSE,FALSE
F435,FALSE,FALSE,FALSE,FALSE,FALSE
F436,FALSE,FALSE,FALSE,FALSE,FALSE
F437,FALSE,FALSE,FALSE,FALSE,FALSE
F438,FALSE,FALSE,FALSE,FALSE,FALSE
F439,FALSE,FALSE,FALSE,FALSE,FALSE
F440,FALSE,FALSE,FALSE,FALSE,FALSE
F441,FALSE,FALSE,FALSE,FALSE,FALSE
F442,FALSE,FALSE,FALSE,FALSE,FALSE
F443,FALSE,FALSE,FALSE,FALSE,FALSE
F444,FALSE,FALSE,FALSE,FALSE,FALSE
F445,FALSE,FALSE,FALSE,FALSE,FALSE
F446,FALSE,FALSE,FALSE,FALSE,FALSE
F447,FALSE,FALSE,FALSE,FALSE,FALSE
F448,FALSE,FALSE,FALSE,FALSE,FALSE
F449,FALSE,FALSE,FALSE,FALSE,FALSE
F450,FALSE,FALSE,FALSE,FALSE,FALSE
F451,FALSE,FALSE,FALSE,FALSE,FALSE
F452,FALSE,FALSE,FALSE,FALSE,FALSE
F453,FALSE,FALSE,FALSE,FALSE,FALSE
F454,FALSE,FALSE,FALSE,FALSE,FALSE
F455,FALSE,FALSE,FALSE,FALSE,FALSE
F456,FALSE,FALSE,FALSE,FALSE,FALSE
F457,FALSE,FALSE,FALSE,FALSE,FALSE
F458,FALSE,FALSE,FALSE,FALSE,FALSE
F459,FALSE,FALSE,FALSE,FALSE,FALSE
F460,FALSE,FALSE,FALSE,FALSE,FALSE
F461,FALSE,FALSE,FALSE,FALSE,FALSE
F462,FALSE,FALSE,FALSE,FALSE,FALSE
F463,FALSE,FALSE,FALSE,FALSE,FALSE
F464,FALSE,FALSE,FALSE,FALSE,FALSE
F465,FALSE,FALSE,FALSE,FALSE,FALSE
F466,FALSE,FALSE,FALSE,FALSE,FALSE
F467,TRUE,FALSE,FALSE,FALSE,TRUE
F468,FALSE,FALSE,FALSE,FALSE,FALSE
F469,FALSE,FALSE,FALSE,FALSE,FALSE
F470,FALSE,FALSE,FALSE,FALSE,FALSE
F471,FALSE,FALSE,FALSE,FALSE,FALSE
F472,FALSE,FALSE,FALSE,FALSE,FALSE
F473,FALSE,FALSE,FALSE,FALSE,FALSE
F474,FALSE,FALSE,FALSE,FALSE,FALSE
F475,FALSE,FALSE,FALSE,FALSE,FALSE
F476,FALSE,FALSE,FALSE,FALSE,FALSE
F477,FALSE,FALSE,FALSE,FALSE,FALSE
F478,FALSE,FALSE,FALSE,FALSE,FALSE
F479,FALSE,FALSE,FALSE,FALSE,FALSE
F480,FALSE,FALSE,FALSE,FALSE,FALSE
F481,FALSE,FALSE,FALSE,FALSE,FALSE
F482,FALSE,FALSE,FALSE,FALSE,FALSE
F483,FALSE,FALSE,FALSE,FALSE,FALSE
F484,FALSE,FALSE,FALSE,FALSE,FALSE
F485,FALSE,FALSE,FALSE,FALSE,FALSE
F486,FALSE,FALSE,FALSE,FALSE,FALSE
F487,FALSE,FALSE,FALSE,FALSE,FALSE
F488,TRUE,FALSE,FALSE,FALSE,TRUE
F489,FALSE,FALSE,FALSE,FALSE,FALSE
F490,FALSE,FALSE,FALSE,FALSE,FALSE
F491,FALSE,FALSE,FALSE,FALSE,FALSE
F492,FALSE,FALSE,FALSE,FALSE,FALSE
F493,FALSE,FALSE,FALSE,FALSE,FALSE
F494,FALSE,FALSE,FALSE,FALSE,FALSE
F495,FALSE,FALSE,FALSE,FALSE,FALSE
F496,FALSE,FALSE,FALSE,FALSE,FALSE
F497,FALSE,FALSE,FALSE,FALSE,FALSE
