ID,LabVisit,LibraryPlate,SourceWell,LibraryName,CompoundSMILES,CompoundCode,CrystalPlate,CrystalWell,EchoX,EchoY,DropVolume,ProteinName,BatchNumber,CompoundStockConcentration,CompoundConcentration,SolventFraction,SoakTransferVol,SoakStatus,SoakTimestamp,CryoStockFraction,CryoFraction,CryoWell,CryoTransferVolume,CryoStatus,CryoTimestamp,SoakingTime,HarvestStatus,CrystalName,Puck,PuckPosition,PinBarcode,MountingResult,MountingArrivalTime,MountedTimestamp,MountingTime,ispybStatus,DataCollectionVisit,SoakDBComments,ProjectDirectory,CrystalTag,CrystalFormName,CrystalFormSpaceGroup,CrystalFormPointGroup,CrystalFormA,CrystalFormB,CrystalFormC,CrystalFormAlpha,CrystalFormBeta,CrystalFormGamma,CrystalFormVolume,DataCollectionBeamline,DataCollectionDate,DataCollectionOutcome,DataCollectionRun,DataCollectionComment,DataCollectionWavelength,DataCollectionPinBarcode,DataCollectionCrystalImage1,DataCollectionCrystalImage2,DataCollectionCrystalImage3,DataCollectionCrystalImage4,DataProcessingPathToImageFiles,DataProcessingProgram,DataProcessingSpaceGroup,DataProcessingUnitCell,DataProcessingAutoAssigned,DataProcessingA,DataProcessingB,DataProcessingC,DataProcessingAlpha,DataProcessingBeta,DataProcessingGamma,DataProcessingResolutionOverall,DataProcessingResolutionLow,DataProcessingResolutionLowInnerShell,DataProcessingResolutionHigh,DataProcessingResolutionHigh15sigma,DataProcessingResolutionHigh20sigma,DataProcessingResolutionHighOuterShell,DataProcessingRmergeOverall,DataProcessingRmergeLow,DataProcessingRmergeHigh,DataProcessingIsigOverall,DataProcessingIsigLow,DataProcessingIsigHigh,DataProcessingCompletenessOverall,DataProcessingCompletenessLow,DataProcessingCompletenessHigh,DataProcessingMultiplicityOverall,DataProcessingMultiplicityLow,DataProcessingMultiplicityHigh,DataProcessingCChalfOverall,DataProcessingCChalfLow,DataProcessingCChalfHigh,DataProcessingPathToLogfile,DataProcessingPathToMTZfile,DataProcessingLOGfileName,DataProcessingMTZfileName,DataProcessingDirectoryOriginal,DataProcessingUniqueReflectionsOverall,DataProcessingLattice,DataProcessingPointGroup,DataProcessingUnitCellVolume,DataProcessingAlert,DataProcessingScore,DataProcessingStatus,DataProcessingRcryst,DataProcessingRfree,DataProcessingPathToDimplePDBfile,DataProcessingPathToDimpleMTZfile,DataProcessingDimpleSuccessful,DimpleResolutionHigh,DimpleRcryst,DimpleRfree,DimplePathToPDB,DimplePathToMTZ,DimpleReferencePDB,DimpleStatus,DimplePANDDAwasRun,DimplePANDDAhit,DimplePANDDAreject,DimplePANDDApath,PANDDAStatus,DatePanDDAModelCreated,RefinementResolution,RefinementResolutionTL,RefinementRcryst,RefinementRcrystTraficLight,RefinementRfree,RefinementRfreeTraficLight,RefinementSpaceGroup,RefinementLigandCC,RefinementRmsdBonds,RefinementRmsdBondsTL,RefinementRmsdAngles,RefinementRmsdAnglesTL,RefinementOutcome,RefinementMTZfree,RefinementCIF,RefinementCIFStatus,RefinementCIFprogram,RefinementPDB_latest,RefinementMTZ_latest,RefinementMatrixWeight,RefinementComment,RefinementPathToRefinementFolder,RefinementLigandConfidence,RefinementLigandBoundConformation,RefinementBoundConformation,RefinementMolProbityScore,RefinementMolProbityScoreTL,RefinementRamachandranOutliers,RefinementRamachandranOutliersTL,RefinementRamachandranFavored,RefinementRamachandranFavoredTL,RefinementProgram,RefinementStatus,Deposition_PDB_ID,Deposition_PDB_file,Deposition_Date,Deposition_mmCIF_model_file,Deposition_mmCIF_SF_file,Label,table_one,AssayIC50,LastUpdated,LastUpdated_by,CompoundSMILESproduct,CompoundStereo,CompoundStereoSMILES,CompoundStereoCIFprogram,CompoundStereoCIFs,CompoundAutofitCC,CompoundAutofitprogram,DataCollectionSubdir,DimpleTwinResolutionHigh,DimpleTwinRcryst,DimpleTwinRfree,DimpleTwinPathToPDB,DimpleTwinPathToMTZ,DimpleTwinReferencePDB,DimpleTwinStatus,DimpleTwinFraction,DataProcessingDimpleTwinSuccessful,RefinementTwinMTZfree,RefinementMMCIFmodel_latest,RefinementMMCIFreflections_latest,RefinementBusterReportHTML
30,lb18145-130,FragLite Set 1,A22,EG,BrC1=CC(OC)=C(CO)C=C1,NCL-00024662,CI072345,B12C,40.95,427.7,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:37:14,done,PHIPA-x20029,DLS-347,13,DF150E0891,OK: Clear:Normal,04/07/2019 14:50:32,04/07/2019 14:52:26,1.31597222222222E-03,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:25:59,success,PHIPA-x20029_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/jpg/lb18145-128-PHIPA-x20029_1_/PHIPA-x20029_1_1_432.0t.png,None,None,None,None,xia2-3dii,C 1 2 1,81 27 56 90 100 90,True,81,27,56,90,100,90,55.21 - 1.31,55.21,5.86,1.31,1.38,None,1.34,0.046,0.031,0.552,11.7,33.4,1.1,96.4,96.9,75.9,2.7,1.6,1.6,0.998,0.998,0.708,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/autoprocessing/lb18145-128-PHIPA-x20029_1_xia2-3dii/AUTOMATIC_DEFAULT_aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/autoprocessing/lb18145-128-PHIPA-x20029_1_xia2-3dii/AUTOMATIC_DEFAULT_free.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20029/PHIPA-x20029_1_/xia2-3dii,28384,monoclinic_C,2,120611.4,#00FF00,530.857711958,None,,,,,True,,0.18352,0.20757,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,True,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,2019-08-20 10:48:04,1.310,green,0.1896,green,0.2145,green,C 1 2 1,,n/a,gray,n/a,gray,6 - Deposited,PHIPA-x20029.free.mtz,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/compound/NCL-00024662.cif,restraints generated,grade,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/Refine_5/refine.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/Refine_5/refine.mtz,0.34871674,,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/Refine_5/refine.pdb,1.03,green,0.00,green,100.00,green,,finished,5RJL,,,,,,PHIPA-x20029-table-1.txt,,2020-06-04 13:36,rvk26159,,,,,,,,,,,,,,,,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/Refine_5/BUSTER_model.cif,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20029/Refine_5/BUSTER_refln.cif,
31,lb18145-130,FragLite Set 1,A23,EG,BrC1=CN(CCO)N=C1,NCL-00024671,CI072345,B12C,-17.29,-128.31,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:37:42,done,PHIPA-x20030,DLS-347,14,DF075C0868,OK: Clear:Cracked,04/07/2019 14:52:29,04/07/2019 14:52:54,2.96296296296296E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 14:22:27,success,PHIPA-x20030_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/jpg/lb18145-128-PHIPA-x20030_1_/PHIPA-x20030_1_1_450.0t.png,None,None,None,None,autoPROC,C 1 2 1,82 27 55 90 99 90,True,82,27,55,90,99,90,35.65 - 1.41,35.65,4.45,1.41,n/a,1.61,1.48,0.050,0.026,1.592,10.2,38.8,0.5,93.2,99.0,96.5,2.9,2.1,2.1,0.999,0.998,0.527,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/autoprocessing/lb18145-128-PHIPA-x20030_1_autoPROC/aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/autoprocessing/lb18145-128-PHIPA-x20030_1_autoPROC/truncate-unique.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20030/PHIPA-x20030_1_/autoPROC,22439,monoclinic_C,2,120270.8,#00FF00,354.723024375,None,,,,,True,,0.19844,0.23711,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,True,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,2019-08-16 11:05:33,1.407,green,0.1896,green,0.2389,green,C 1 2 1,,n/a,gray,n/a,gray,6 - Deposited,PHIPA-x20030.free.mtz,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/compound/NCL-00024671.cif,restraints generated,grade,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/Refine_6/refine.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/Refine_6/refine.mtz,0.15178278,,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/Refine_6/refine.pdb,0.67,green,0.00,green,100.00,green,,finished,5RJM,,,,,,PHIPA-x20030-table-1.txt,,2020-06-04 13:36,rvk26159,,,,,,,,,,,,,,,,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/Refine_6/BUSTER_model.cif,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20030/Refine_6/BUSTER_refln.cif,
32,lb18145-130,FragLite Set 1,A24,EG,BrC1=CC(O)=C(C(O)=O)C=C1,NCL-00024667,CI072345,B12C,223.86,92.82,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:38:24,done,PHIPA-x20031,DLS-347,15,DF150E0722,OK: Clear:Cracked,04/07/2019 14:52:57,04/07/2019 14:53:36,4.44444444444444E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:24:43,success,PHIPA-x20031_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20031/jpg/lb18145-128-PHIPA-x20031_1_/PHIPA-x20031_1_1_432.0t.png,None,None,None,None,xia2-3dii-C2,C 1 2 1,82 26 55 90 100 90,True,82,26,55,90,100,90,54.51 - 1.43,54.51,6.40,1.43,1.49,None,1.47,0.069,0.042,0.852,9.2,25.0,1.0,98.3,96.8,96.2,2.9,2.2,2.2,0.996,0.996,0.515,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20031/autoprocessing/lb18145-128-PHIPA-x20031_1_xia2-3dii-C2/AUTOMATIC_DEFAULT_aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20031/autoprocessing/lb18145-128-PHIPA-x20031_1_xia2-3dii-C2/AUTOMATIC_DEFAULT_free.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20031/PHIPA-x20031_1_/xia2-3dii-C2,21826,monoclinic_C,2,115478.6,#00FF00,341.856609969,None,,,,,True,,0.19920,0.22584,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20031/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20031/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.43,green,0.19920,green,0.22584,green,C 1 2 1,,0.011,green,1.652,green,1 - Analysis Pending,PHIPA-x20031.free.mtz,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20031/compound/NCL-00024667.cif,restraints generated,grade,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20031/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
33,lb18145-130,FragLite Set 1,B1,EG,BrC1=CC(C#N)=C(OC)C=C1,NCL-00024663,CI072345,B12C,-13.65,353.99,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:39:00,done,PHIPA-x20032,DLS-347,16,DF150E0752,OK: Clear:Normal,04/07/2019 14:53:37,04/07/2019 14:54:12,4.02777777777778E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 14:38:25,success,PHIPA-x20032_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20032/jpg/lb18145-128-PHIPA-x20032_1_/PHIPA-x20032_1_1_522.0t.png,None,None,None,None,autoPROC,C 1 2 1,81 27 55 90 99 90,True,81,27,55,90,99,90,30.06 - 1.26,30.06,3.79,1.26,n/a,1.34,1.34,0.034,0.027,0.330,14.1,39.7,1.4,91.9,97.7,70.3,2.6,1.3,1.3,0.999,0.998,0.871,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20032/autoprocessing/lb18145-128-PHIPA-x20032_1_autoPROC/aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20032/autoprocessing/lb18145-128-PHIPA-x20032_1_autoPROC/truncate-unique.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20032/PHIPA-x20032_1_/autoPROC,29989,monoclinic_C,2,118804.1,#00FF00,654.176856018,None,,,,,True,,0.17971,0.20442,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20032/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20032/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.26,green,0.17971,green,0.20442,green,C 1 2 1,,0.013,green,1.781,green,1 - Analysis Pending,PHIPA-x20032.free.mtz,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20032/compound/NCL-00024663.cif,restraints generated,grade,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20032/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
34,lb18145-130,FragLite Set 1,B2,EG,BrC1=CN(CCOC)N=C1,NCL-00024673,CI072345,B12C,-103.74,189.28,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:40:41,done,PHIPA-x20033,CPS-0372,1,DF150E0442,OK: Clear:Normal,04/07/2019 14:54:14,04/07/2019 14:55:53,1.14351851851852E-03,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:20:49,success,PHIPA-x20033_2_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/jpg/lb18145-128-PHIPA-x20033_2_/PHIPA-x20033_2_1_414.0t.png,None,None,None,None,autoPROC,C 1 2 1,81 27 55 90 99 90,True,81,27,55,90,99,90,35.56 - 1.43,35.56,4.54,1.43,n/a,1.64,1.51,0.073,0.041,1.395,8.4,27.3,0.6,92.2,98.1,89.4,3.1,2.4,2.4,0.997,0.995,0.432,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/autoprocessing/lb18145-128-PHIPA-x20033_2_autoPROC/aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/autoprocessing/lb18145-128-PHIPA-x20033_2_autoPROC/truncate-unique.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20033/PHIPA-x20033_2_/autoPROC,20928,monoclinic_C,2,118804.1,#00FF00,272.857880157,None,,,,,True,,0.20036,0.23761,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,True,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,2019-08-16 11:05:32,1.435,green,0.1866,green,0.2249,green,C 1 2 1,,n/a,gray,n/a,gray,6 - Deposited,PHIPA-x20033.free.mtz,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/compound/NCL-00024673.cif,restraints generated,grade,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/Refine_5/refine.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/Refine_5/refine.mtz,0.35735562,,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/Refine_5/refine.pdb,0.79,green,0.00,green,100.00,green,,finished,5RJN,,,,,,PHIPA-x20033-table-1.txt,,2020-06-04 13:36,rvk26159,,,,,,,,,,,,,,,,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/Refine_5/BUSTER_model.cif,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20033/Refine_5/BUSTER_refln.cif,
35,lb18145-130,FragLite Set 1,B3,EG,BrC1=CN(CC(O)=O)N=C1,NCL-00024890,CI072345,B12C,50.96,-164.71,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:40:55,fail,,,,,FAIL: Clear:Melted,04/07/2019 14:55:54,04/07/2019 14:56:07,1.46990740740741E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,lb18145-130,FragLite Set 1,B4,EG,O=C1N(CCO)C=CC(Br)=C1,NCL-00024672,CI072345,B12C,-191.1,92.82,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:41:28,done,PHIPA-x20034,CPS-0372,2,DF150E0759,OK: Clear:Normal,04/07/2019 14:56:09,04/07/2019 14:56:40,3.47222222222222E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 12:54:17,success,PHIPA-x20034_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20034/jpg/lb18145-128-PHIPA-x20034_1_/PHIPA-x20034_1_1_522.0t.png,None,None,None,None,xia2-3dii,P 1,101 131 163 100 96 94,True,101,131,163,100,96,94,11.91 - 2.11,11.91,9.44,2.11,0.00,None,2.16,-42.176,-22.973,3.486,-0.1,-0.0,0.1,64.1,45.4,34.1,1.5,1.1,1.1,0.071,-0.071,-0.185,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20034/autoprocessing/lb18145-128-PHIPA-x20034_1_xia2-3dii/AUTOMATIC_DEFAULT_aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20034/autoprocessing/lb18145-128-PHIPA-x20034_1_xia2-3dii/AUTOMATIC_DEFAULT_free.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20034/PHIPA-x20034_1_/xia2-3dii,303360,triclinic,1,2103728.30348,#00FF00,-0.924329247643,finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20034/compound/NCL-00024672.cif,restraints generated,grade,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-30 15:56,rvk26159,,,,,,,,,,,,,,,,,,,,,
37,lb18145-130,FragLite Set 1,B5,EG,O=C1N(CCOC)C=CC(Br)=C1,NCL-00024387,CI072345,B12C,164.71,67.34,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:42:25,done,PHIPA-x20035,CPS-0372,3,DF150E0866,OK: Clear:Cracked,04/07/2019 14:56:41,04/07/2019 14:57:37,6.50462962962963E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 12:57:15,success,PHIPA-x20035_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20035/jpg/lb18145-128-PHIPA-x20035_1_/PHIPA-x20035_1_1_504.0t.png,None,None,None,None,aP_staraniso,C2,81 27 55 90 100 90,True,81,27,55,90,100,90,55.062 - 1.194,55.062,3.621,1.194,n/a,None,1.296,0.034,0.026,0.310,13.6,41.8,1.3,84.0,93.5,42.4,2.6,1.2,1.2,0.999,0.998,0.826,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20035/autoprocessing/lb18145-128-PHIPA-x20035_1_aP_staraniso/staraniso_alldata-unique.table1,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20035/autoprocessing/lb18145-128-PHIPA-x20035_1_aP_staraniso/staraniso_alldata-unique.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20035/PHIPA-x20035_1_/autoPROC,27791,monoclinic_C,2,118457.6,#00FF00,536.030417635,None,,,,,True,,0.18421,0.20704,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20035/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20035/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.17,green,0.18421,green,0.20704,green,C 1 2 1,,0.013,green,1.717,green,1 - Analysis Pending,PHIPA-x20035.free.mtz,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20035/compound/NCL-00024387.cif,restraints generated,grade,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20035/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
38,lb18145-130,FragLite Set 1,B6,EG,O=C1N(CC(O)=O)C=CC(Br)=C1,NCL-00024773,CI072345,B12C,-75.53,132.86,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:43:12,done,PHIPA-x20036,CPS-0372,4,DF150E1059,OK: Clear:Normal,04/07/2019 14:57:39,04/07/2019 14:58:24,5.18518518518519E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 12:59:07,success,PHIPA-x20036_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20036/jpg/lb18145-128-PHIPA-x20036_1_/PHIPA-x20036_1_1_504.0t.png,None,None,None,None,xia2-3dii,C 1 2 1,81 27 55 90 100 90,True,81,27,55,90,100,90,40.29 - 1.30,40.29,5.81,1.30,1.36,None,1.33,0.041,0.036,0.551,13.1,32.3,1.2,91.5,97.2,62.6,2.8,1.8,1.8,0.998,0.995,0.608,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20036/autoprocessing/lb18145-128-PHIPA-x20036_1_xia2-3dii/AUTOMATIC_DEFAULT_aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20036/autoprocessing/lb18145-128-PHIPA-x20036_1_xia2-3dii/AUTOMATIC_DEFAULT_free.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20036/PHIPA-x20036_1_/xia2-3dii,27370,monoclinic_C,2,118457.6,#00FF00,553.903683681,None,,,,,True,,0.17773,0.20691,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20036/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20036/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.30,green,0.17773,green,0.20691,green,C 1 2 1,,0.013,green,1.751,green,1 - Analysis Pending,PHIPA-x20036.free.mtz,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20036/compound/NCL-00024773.cif,restraints generated,grade,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20036/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
39,lb18145-130,FragLite Set 1,B7,EG,BrC1=CC(OC)=C(CC(O)=O)C=C1,NCL-00024665,CI072345,B12C,-188.37,-202.02,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:43:59,done,PHIPA-x20037,CPS-0372,5,DF150E0876,OK: Clear:Cracked,04/07/2019 14:58:26,04/07/2019 14:59:11,5.21990740740741E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,LB18145-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-10 11:42,rvk26159,,,,,,,,,,,,,,,,,,,,,
