,Crystals,PDBs,Fragment_IDs,Smiles,site-1,site-2,site-3,site-4
25,PHIPA-x20566,5RK8,F217,CC1=NC=2C=CC=CC2N1CCC(=O)N,TRUE,FALSE,FALSE,FALSE
26,PHIPA-x20584,5RK9,F421,CN(C)C(=O)C=1C=NNC1,TRUE,FALSE,FALSE,FALSE
27,PHIPA-x20594,5RKA,F603,CS(=O)(=O)CC1=NC=2C=CC=CC2N1,TRUE,FALSE,FALSE,FALSE
28,PHIPA-x20595,5RKB,F179,CC(O)C=1C=NN(C1)C2CCCC2,TRUE,FALSE,FALSE,FALSE
29,PHIPA-x20631,5RKC,F535,CNCC1=NN=C2C=CC=CN12,TRUE,FALSE,FALSE,FALSE
30,PHIPA-x20633,5RKD,F501,CN1N=NC=2CCC(CC21)C(=O)O,TRUE,FALSE,FALSE,FALSE
31,PHIPA-x20651,5RKE,F126,CC(C)C=1N=CC(Cl)=C(N1)C(=O)N,TRUE,FALSE,FALSE,FALSE
32,PHIPA-x20667,5RKF,F366,CCN1C=C(CCO)C=N1,TRUE,FALSE,FALSE,FALSE
33,PHIPA-x20671,5RKG,F389,CCOC(=O)C=1C=NNC1,TRUE,FALSE,FALSE,FALSE
34,PHIPA-x20678,5RKH,F488,CN1CCN(CC1)C(=O)COC=2C=CC(C)=CC2,TRUE,FALSE,FALSE,FALSE
35,PHIPA-x20706,5RKI,F709,NC(=O)N1CCN(CC1)C(=O)C2=CC=CO2,TRUE,FALSE,FALSE,FALSE
36,PHIPA-x20710,5RKJ,F369,CCN1C=C(NC(=O)C2CCCC2)C=N1,TRUE,FALSE,FALSE,FALSE
37,PHIPA-x20712,5RKK,F367,CCN1C=C(CNC(=O)C=2C=CC=NC2)C=N1,TRUE,FALSE,FALSE,FALSE
38,PHIPA-x20719,5RKL,F687,FC=1C=CC=CC1NCC=2C=CNN2,TRUE,FALSE,FALSE,FALSE
39,PHIPA-x20720,5RKM,F618,C[C@@H](CO)N(C)C=1N=CC=CC1F,TRUE,FALSE,FALSE,FALSE
40,PHIPA-x20767,5RKN,F368,CCN1C=C(NC(=O)C2CCC2)C=N1,TRUE,FALSE,FALSE,FALSE
41,PHIPA-x20801,5RKO,F666,FC=1C=CC(=CC1)N2CCN(CC2)C(=O)C3CC3,TRUE,FALSE,FALSE,FALSE
42,PHIPA-x20826,5RKP,F274,CC=1C=C(CN2N=C(C)C=CC2=O)ON1,TRUE,FALSE,FALSE,FALSE
43,PHIPA-x20831,5RKQ,F229,CC1=NNC=C1CNC=2C=CC=CC2F,TRUE,FALSE,FALSE,FALSE
44,PHIPA-x20833,5RKR,F619,C[C@@H](CO)NC=1N=CC(Cl)=CC1F,FALSE,TRUE,FALSE,FALSE
45,PHIPA-x20890,5RKS,F780,OC1CN(C1)C(C=2C=CC=CC2)C=3C=CC=CC3,FALSE,FALSE,TRUE,FALSE
46,PHIPA-x20899,5RKT,F650,Cl.O=C(N1CCCC1)C=2C=NNC2,TRUE,FALSE,FALSE,FALSE
47,PHIPA-x20906,5RKU,F740,O=C(NC1CC1)C=2C=CC=3OCOC3C2,TRUE,FALSE,FALSE,FALSE
48,PHIPA-x20910,5RKV,F400,CCOC=1C=CC(CC(=O)O)=CC1,TRUE,TRUE,FALSE,FALSE
49,PHIPA-x20916,5RKW,F579,COC=1C=CC=2N=C(NC(=O)C3CC3)SC2C1,TRUE,FALSE,FALSE,FALSE
50,PHIPA-x20971,5RKX,F275,CC=1C=C(F)C=C(C1)S(=O)(=O)N,TRUE,TRUE,FALSE,FALSE
51,PHIPA-x21004,5RKY,F503,CNC(=O)C1(CC=2C=CC=CC2F)CC1,TRUE,FALSE,FALSE,FALSE
